Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Food Type,Source Type,Major Nutrient,Food Process
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4000000000000004,,,,,,,0.48951048951048964,1.3023255813953492,,,,,,,Cereals & Staples,Plant-based,Carb-rich,Processed
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,,,,,,,0.33639143730886856,1.5714285714285716,,,,,,,Cereals & Staples,Plant-based,Carb-rich,Unprocessed
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,,,,,,,0.894308943089431,4.782608695652174,,,,,,,Drinks,Plant-based,Mixed,Processed
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,Cereals & Staples,Plant-based,Carb-rich,Unprocessed
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.7596310359999999,2.8,3.943661972,49576.3,69825.77465,13449.891480000002,Cereals & Staples,Plant-based,Carb-rich,Unprocessed
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.7540983610000005,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,Cereals & Staples,Plant-based,Carb-rich,Unprocessed
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.708418891,0.69,7.666666667,0.0,0.0,0.0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0.0,0.0,0.0,Cereals & Staples,Plant-based,Carb-rich,Unprocessed
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,2.6,4.820512821,16.92,0.0,176.66666669999998,0.0,620.1,0.911680912,0.0,0.581196581,2.04,0.0,16438.6,0.0,4683.361822999999,Sugars,Plant-based,Carb-rich,Unprocessed
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4,1.541310541,5.41,0.0,62.02279202,0.0,217.7,0.515669516,0.0,0.5213675210000001,1.83,0.0,9493.3,0.0,2704.643875,Sugars,Plant-based,Carb-rich,Unprocessed
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,5.008797653999999,17.08,7.97758057,127.77126100568401,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,6591.612903670328,Pulses & Legumes,Plant-based,Protein-rich,Unprocessed
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.7999999999999999,2.173410405,7.52,3.384338434,114.62427744804289,178.48784880000002,396.6,0.2832369939999999,0.441044104,2.156069364,7.46,3.357335734,27948.2,12577.94779,8077.514450260697,Pulses & Legumes,Plant-based,Protein-rich,Unprocessed
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.2,3.113821138,19.15,11.72688304,672.1626016,2531.414574,4133.8,0.069918699,0.263319045,2.107317073,12.96,7.936313533,229889.8,140777.5873,37380.45528,Nuts & Seeds,Plant-based,Protein & Fat,Unprocessed
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.4,2.437931034,14.14,5.401069519,319.362069,707.5248281,1852.3,0.556896552,1.233766234,1.570689655,9.11,3.479755539,61797.9,23605.00382,10654.81034,Nuts & Seeds,Plant-based,Protein & Fat,Unprocessed
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,1.0,2.7894736842105265,1.06,3.7062937062937062,73.1578947368421,97.2027972027972,27.8,2.631578947368421,3.4965034965034962,1.736842105263158,0.66,2.307692307692308,955.6,3341.2587412587413,2514.7368421052633,Pulses & Legumes,Plant-based,Protein-rich,Processed
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,3.0,,,,,,,2.0833333333333335,1.7647058823529411,,,,,,,Pulses & Legumes,Plant-based,Protein-rich,Processed
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,5.999999999999999,1.3223981900452488,11.69,0.0,46.90045248868779,0.0,414.6,0.6787330316742081,0.0,1.1900452488687783,10.52,0.0,14888.2,0.0,1684.1855203619912,Oils,Plant-based,Fat-rich,Processed
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,7.6,1.207013575,10.67,0.0,0.7239819000000001,0.0,6.4,0.828054299,0.0,0.273755656,2.42,0.0,36.2,0.0,4.095022623999999,Oils,Plant-based,Fat-rich,Processed
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,3.5000000000000004,5.730769231,50.66,0.0,114.0158371,0.0,1007.9,0.407239819,0.0,1.997737557,17.66,0.0,36369.4,0.0,4114.18552,Oils,Plant-based,Fat-rich,Processed
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,3.7,2.17081448,19.19,0.0,26.88914027,0.0,237.7,0.426470588,0.0,1.202488688,10.63,0.0,10593.7,0.0,1198.382353,Oils,Plant-based,Fat-rich,Processed
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,6.0,4.214932127,37.26,0.0,242.2850679,0.0,2141.8,0.6131221720000001,0.0,2.976244344,26.31,0.0,177480.2,0.0,20076.9457,Oils,Plant-based,Fat-rich,Processed
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,1.4,39.52631579,7.51,68.27272727,1946.315789,3361.818182,369.8,11.0,19.0,4.210526316,0.8,7.272727272999999,5335.7,48506.36364,28082.63158,Vegetables,Plant-based,Mixed,Unprocessed
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,8.756756757,3.24,24.92307692,38.64864865,110.0,14.3,1.351351351,3.846153846,1.054054054,0.39,3.0,932.0,7169.230769,2518.918919,Vegetables,Plant-based,Mixed,Unprocessed
Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.351351351,1.61,16.1,76.75675676,284.0,28.4,1.162162162,4.3,0.8918918920000001,0.33,3.3,929.2,9292.0,2511.351351,Vegetables,Plant-based,Mixed,Unprocessed
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.4545449999998,119.4,3.0,4.6363636360000005,3.235294118,0.55,5.0,8455.1,76864.54545,49735.88235,Vegetables,Plant-based,Mixed,Unprocessed
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,,2.27,,,,102.5,,,,0.38,,4911.4,,,Vegetables,Plant-based,Mixed,Unprocessed
Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,7.0,2.24,37.33333333,258.4375,1378.333333,82.7,1.21875,6.5,2.6875,0.86,14.33333333,4662.7,77711.66667,14570.9375,Fruits,Plant-based,Carb-rich,Unprocessed
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.7999999999999999,5.483333332999999,3.29,36.55555556,190.8333333,1272.222222,114.5,1.4333333330000002,9.555555556,3.216666667,1.93,21.44444444,661.9,7354.444444,1103.166667,Fruits,Plant-based,Carb-rich,Unprocessed
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,3.020833333,1.45,48.33333333,375.2083333,6003.333333,180.1,0.895833333,14.33333333,1.3125,0.63,21.0,12948.6,431620.0,26976.25,Fruits,Plant-based,Carb-rich,Unprocessed
Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,1.1,10.73684211,6.12,61.2,736.1403508999999,4196.0,419.6,2.684210526,15.3,4.228070175,2.41,24.1,21162.1,211621.0,37126.49123,Fruits,Plant-based,Carb-rich,Unprocessed
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,1.4,5.506024096385543,4.57,652.8571428571429,95.06024096385543,11271.428571428574,78.9,1.686746987951807,200.0,2.144578313253012,1.78,254.2857142857143,1149.3,164185.7142857143,1384.6987951807228,Drinks,Plant-based,Mixed,Processed
Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,,Fruits,Plant-based,Carb-rich,Unprocessed
Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,16.500000000000004,197.3571429,110.52,138.15,46.25,32.375,25.9,50.94642857,35.6625,38.60714286,21.62,27.025,337.0,421.25,601.7857142999999,Drinks,Plant-based,Mixed,Unprocessed
Dark Chocolate,14.3,0.0,3.7,0.2,0.1,0.4,0.0,18.7,16.84332689,87.08,174.16,104.5647969,1081.2,540.6,9.023210832,93.3,13.3384913,68.96,137.92,2879.2,5758.4,556.9052224,Confectionery,Plant-based,Fat-rich,Processed
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,110.4065934,301.41,151.1584754,531.5750916000001,727.7833501,1451.2,36.43956044,49.88966901,119.4908425,326.21,163.5957874,34732.5,17418.50552,12722.52747,Meat,Animal-based,Protein-rich,Unprocessed
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,133.8058608,365.29,185.0506586,994.2490842,1375.0253289999998,2714.3,12.1978022,16.86930091,15.83882784,43.24,21.9047619,119805.2,60691.59068,43884.68864,Meat,Animal-based,Protein-rich,Unprocessed
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,30.64037855,97.13,48.54072964,568.7066246,900.9495252,1802.8,12.52996845,19.85007496,116.659306,369.81,184.8125937,141925.0,70927.03648,44771.29338,Meat,Animal-based,Protein-rich,Unprocessed
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,31.958159,76.38,47.20642769,751.3807531,1109.888752,1795.8,5.150627615,7.60815822,7.263598326,17.36,10.72929543,66867.4,41327.19407,27977.99163,Meat,Animal-based,Protein-rich,Unprocessed
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1000000000000005,26.32432432,48.7,28.11778291,356.7567568,381.0623557,660.0,5.335135135,5.698614319,6.605405405,12.22,7.055427252,14177.9,8185.854503,7663.72973,Meat,Animal-based,Protein-rich,Unprocessed
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8000000000000003,17.75,10.65,32.27272727,1047.0,1903.636364,628.2,5.25,9.5,14.91666667,8.95,27.12121212,19786.3,59958.48485,32977.16667,Dairy,Animal-based,Protein-rich,Unprocessed
